stid,name,lat,lon,date_time,wind_speed,wind_direction
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T20:20:00Z,5.813,254.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T20:30:00Z,3.575,321.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T20:40:00Z,7.598,284.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T20:50:00Z,4.023,303.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T21:00:00Z,12.516,333.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T21:10:00Z,6.703,273.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T21:20:00Z,4.471,323.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T21:30:00Z,7.151,306.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T21:40:00Z,4.471,298.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T21:50:00Z,7.151,337.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T22:00:00Z,2.233,319.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T22:10:00Z,4.918,296.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T22:20:00Z,6.261,304.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T22:30:00Z,5.366,302.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T22:40:00Z,2.233,317.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T22:50:00Z,5.366,262.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T23:00:00Z,3.575,324.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T23:10:00Z,4.471,326.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T23:20:00Z,4.023,340.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T23:30:00Z,1.79,309.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T23:40:00Z,2.68,334.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T23:50:00Z,2.233,317.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T00:00:00Z,5.366,323.0
